Timestamp,No,x,y,z
2025-09-03 13:27:48,112, 12928, -1156, 9952
2025-09-03 13:27:48,113, 13524, -732, 10984
2025-09-03 13:27:48,114, 14808, -284, 9832
2025-09-03 13:27:48,115, 13156, -2620, 11776
2025-09-03 13:27:48,116, 11520, -3552, 10048
2025-09-03 13:27:49,117, 8548, -6140, 7916
2025-09-03 13:27:49,118, 8652, -7252, 6848
2025-09-03 13:27:49,119, 16836, -10948, 6816
2025-09-03 13:27:49,120, 10628, -20516, 8124
2025-09-03 13:27:49,121, 7996, -10776, 3612
2025-09-03 13:27:49,122, 2864, 9780, 6020
2025-09-03 13:27:49,123, 3812, 19320, 8276
2025-09-03 13:27:49,124, 1928, 22088, 7520
2025-09-03 13:27:49,125, -2388, 25032, 6616
2025-09-03 13:27:49,126, -752, 14176, 5580
2025-09-03 13:27:50,127, 676, -13608, 10380
2025-09-03 13:27:50,128, 6796, -25040, 2600
2025-09-03 13:27:50,129, 8432, -27636, 6564
2025-09-03 13:27:50,130, 6188, -19380, 7504
2025-09-03 13:27:50,131, 3888, -8076, 3612
2025-09-03 13:27:50,132, 2268, 4864, 4168
2025-09-03 13:27:50,133, -1940, 17188, 11104
2025-09-03 13:27:50,134, -5736, 26904, 11396
2025-09-03 13:27:50,135, -5632, 26516, 8692
2025-09-03 13:27:50,136, -3168, 11716, 8088
2025-09-03 13:27:51,137, -480, -14156, 10160
2025-09-03 13:27:51,138, 7200, -24032, 5068
2025-09-03 13:27:51,139, 7088, -24052, 7368
2025-09-03 13:27:51,140, 7592, -18852, 7088
2025-09-03 13:27:51,141, 6820, -4416, 2668
2025-09-03 13:27:51,142, 6352, 6840, 4236
2025-09-03 13:27:51,143, 2900, 12876, 11064
2025-09-03 13:27:51,144, -1460, 19860, 16356
2025-09-03 13:27:51,145, -3296, 23436, 13060
2025-09-03 13:27:51,146, -1392, 13272, 8940
2025-09-03 13:27:52,147, 2412, -2124, 8292
2025-09-03 13:27:52,148, 1904, -19308, 7388
2025-09-03 13:27:52,149, 5908, -28300, 4260
2025-09-03 13:27:52,150, 7500, -24736, 8420
2025-09-03 13:27:52,151, 5208, -11752, 7388
2025-09-03 13:27:52,152, 4308, 2248, 6296
2025-09-03 13:27:52,153, 3756, 11012, 8152
2025-09-03 13:27:52,154, -588, 18448, 13868
2025-09-03 13:27:52,155, -3648, 26336, 12424
2025-09-03 13:27:52,156, 140, 13548, 7184
2025-09-03 13:27:53,157, 5368, 2408, 6504
2025-09-03 13:27:53,158, 5120, -12612, 6564
2025-09-03 13:27:53,159, 3268, -22824, 5588
2025-09-03 13:27:53,160, 5608, -28148, 10672
2025-09-03 13:27:53,161, 4324, -19840, 8628
2025-09-03 13:27:53,162, 2660, -7644, 4036
2025-09-03 13:27:53,163, 3060, 5000, 5240
2025-09-03 13:27:53,164, -308, 16616, 10636
2025-09-03 13:27:53,165, -3128, 23968, 12360
2025-09-03 13:27:53,166, -3288, 21580, 10160
2025-09-03 13:27:54,167, -2848, 13316, 9172
2025-09-03 13:27:54,168, 2156, -2956, 8156
2025-09-03 13:27:54,169, -3788, -17100, 6532
2025-09-03 13:27:54,170, -4296, -28944, 8872
2025-09-03 13:27:54,171, -2904, -29100, 9824
2025-09-03 13:27:54,172, -2236, -20444, 11132
2025-09-03 13:27:54,173, -2172, -5960, 5400
2025-09-03 13:27:54,174, -608, 7948, 4604
2025-09-03 13:27:54,175, -4848, 15932, 10136
2025-09-03 13:27:54,176, -5696, 22608, 11408
2025-09-03 13:27:55,177, -6320, 21776, 13648
2025-09-03 13:27:55,178, -6028, 19344, 9912
2025-09-03 13:27:55,179, -1944, 4356, 8228
2025-09-03 13:27:55,180, -1924, -10096, 7208
2025-09-03 13:27:55,181, -7464, -20836, 7408
2025-09-03 13:27:55,182, -4904, -29948, 11120
2025-09-03 13:27:55,183, -4364, -22524, 13052
2025-09-03 13:27:55,184, -2344, -17096, 11136
2025-09-03 13:27:55,185, -1160, -5920, 5032
2025-09-03 13:27:55,186, -220, 7524, 1768
2025-09-03 13:27:56,187, -7216, 19660, 5512
2025-09-03 13:27:56,188, -11632, 26828, 12904
2025-09-03 13:27:56,189, -5872, 23172, 9580
2025-09-03 13:27:56,190, -208, 8236, 5164
2025-09-03 13:27:56,191, 668, -6376, 5888
2025-09-03 13:27:56,192, -7964, -16888, 5280
2025-09-03 13:27:56,193, -4192, -32224, 12584
2025-09-03 13:27:56,194, -4548, -23192, 13484
2025-09-03 13:27:56,195, -2712, -16420, 9284
2025-09-03 13:27:56,196, -2120, -3388, 5476
2025-09-03 13:27:57,197, -176, 9060, 2488
2025-09-03 13:27:57,198, -8444, 18388, 8280
2025-09-03 13:27:57,199, -14416, 27364, 14976
2025-09-03 13:27:57,200, -5772, 20628, 9896
2025-09-03 13:27:57,201, 3856, 6416, 5152
2025-09-03 13:27:57,202, 9884, -820, 5276
2025-09-03 13:27:57,203, 8764, -3276, 1952
2025-09-03 13:27:57,204, 2788, -12212, 4880
2025-09-03 13:27:57,205, 1980, -25140, 10164
2025-09-03 13:27:58,206, -1100, -16848, 11036
2025-09-03 13:27:58,207, 2792, -17636, 14748
2025-09-03 13:27:58,208, 3620, -19872, 14764
2025-09-03 13:27:58,209, 1616, -2712, 4568
2025-09-03 13:27:58,210, 3972, 8080, -464
2025-09-03 13:27:58,211, -784, 21232, 4548
2025-09-03 13:27:58,212, -3604, 29584, 10116
2025-09-03 13:27:58,213, 2404, 8584, 9728
2025-09-03 13:27:58,214, 3200, -8380, 4652
2025-09-03 13:27:58,215, 3200, -8380, 4652
2025-09-03 13:27:59,216, 876, -20340, 5784
2025-09-03 13:27:59,217, 5000, -28956, 12124
2025-09-03 13:27:59,218, 1860, -21984, 12080
2025-09-03 13:27:59,219, -68, -5964, 2104
2025-09-03 13:27:59,220, -2240, 9168, 3292
2025-09-03 13:27:59,221, -3320, 21420, 9684
2025-09-03 13:27:59,222, -3608, 23932, 13424
2025-09-03 13:27:59,223, -3184, 23508, 10664
2025-09-03 13:27:59,224, 560, 5352, 7556
2025-09-03 13:27:59,225, 4416, -6468, 1336
2025-09-03 13:28:00,226, 848, -17484, 4800
2025-09-03 13:28:00,227, 3396, -29552, 9164
2025-09-03 13:28:00,228, 2112, -25984, 10196
2025-09-03 13:28:00,229, 2112, -25984, 10196
2025-09-03 13:28:00,230, -1900, -11884, 4472
2025-09-03 13:28:00,231, -1900, -11884, 4472
2025-09-03 13:28:00,232, -3996, 6620, 2028
2025-09-03 13:28:00,233, -4392, 21004, 6316
2025-09-03 13:28:00,234, -6472, 24344, 14396
2025-09-03 13:28:00,235, -4972, 25372, 11948
2025-09-03 13:28:01,236, 1112, 4060, 7164
2025-09-03 13:28:01,237, 8700, -5476, 1380
2025-09-03 13:28:01,238, 4436, -12856, 1900
2025-09-03 13:28:01,239, 4240, -23840, 9244
2025-09-03 13:28:01,240, 5300, -24160, 11088
2025-09-03 13:28:01,241, 3852, -11596, 8440
2025-09-03 13:28:01,242, 1956, 3280, 1052
2025-09-03 13:28:01,243, 2840, 12520, 312
2025-09-03 13:28:01,244, -3444, 23756, 5232
2025-09-03 13:28:01,245, -6560, 23224, 15256
2025-09-03 13:28:02,246, -1992, 15916, 9436
2025-09-03 13:28:02,247, 4644, -688, 3812
2025-09-03 13:28:02,248, 1968, -10052, -200
2025-09-03 13:28:02,249, 76, -19824, 7164
2025-09-03 13:28:02,250, 2452, -29348, 12652
2025-09-03 13:28:02,251, 684, -22840, 11128
2025-09-03 13:28:02,252, 1612, -9792, 3236
2025-09-03 13:28:02,253, 3192, 1688, 1944
2025-09-03 13:28:02,254, 1752, 8020, 4840
2025-09-03 13:28:02,255, -8016, 17204, 10708
2025-09-03 13:28:03,256, -7572, 20780, 6508
2025-09-03 13:28:03,257, -4388, 17404, 6188
2025-09-03 13:28:03,258, -3104, 17672, 7088
2025-09-03 13:28:03,259, -9504, 25300, 10456
2025-09-03 13:28:03,260, -10868, 21396, 8196
2025-09-03 13:28:03,261, -5388, 7672, 5240
2025-09-03 13:28:03,262, -1128, -508, -60
2025-09-03 13:28:03,263, -7320, -12772, 4280
2025-09-03 13:28:03,264, -8024, -22960, 9560
2025-09-03 13:28:03,265, -5416, -29632, 13728
2025-09-03 13:28:04,266, -4836, -14088, 12624
2025-09-03 13:28:04,267, -848, -16900, 11012
2025-09-03 13:28:04,268, -188, -17464, 10480
2025-09-03 13:28:04,269, 816, -11172, 6024
2025-09-03 13:28:04,270, 1152, -148, 2208
2025-09-03 13:28:04,271, -3484, 8036, 3300
2025-09-03 13:28:04,272, -11280, 16216, 7592
2025-09-03 13:28:04,273, -15424, 25320, 8280
2025-09-03 13:28:04,274, -5868, 18428, 8912
2025-09-03 13:28:04,275, -7640, 22948, 8304
2025-09-03 13:28:05,276, -6760, 19404, 7936
2025-09-03 13:28:05,277, -6224, 10884, 5524
2025-09-03 13:28:05,278, -472, -1636, 1220
2025-09-03 13:28:05,279, -3876, -11816, 1216
2025-09-03 13:28:05,280, -5788, -24720, 5872
2025-09-03 13:28:05,281, -2928, -29200, 11632
2025-09-03 13:28:05,282, 28, -18688, 10716
2025-09-03 13:28:05,283, 1096, -20204, 9076
2025-09-03 13:28:05,284, 680, -11756, 5700
2025-09-03 13:28:05,285, -152, 5548, -912
2025-09-03 13:28:06,286, 3620, 17804, -1520
2025-09-03 13:28:06,287, 1904, 20196, 14088
2025-09-03 13:28:06,288, 1164, 24940, 15448
2025-09-03 13:28:06,289, -480, 11128, 6488
2025-09-03 13:28:06,290, 3764, -8524, -2668
2025-09-03 13:28:06,291, 3940, -22812, -1480
2025-09-03 13:28:06,292, 7308, -29740, 6216
2025-09-03 13:28:06,293, 6444, -17340, 3172
2025-09-03 13:28:06,294, 6444, -4000, -612
2025-09-03 13:28:07,295, 7032, 5868, -2340
2025-09-03 13:28:07,296, 7324, 14880, 2668
2025-09-03 13:28:07,297, -568, 28824, 18288
2025-09-03 13:28:07,298, 1324, 16536, 9008
2025-09-03 13:28:07,299, 5936, 208, 276
2025-09-03 13:28:07,300, 6452, -13168, 188
2025-09-03 13:28:07,301, 10380, -22696, 6624
2025-09-03 13:28:07,302, 15032, -22076, 5532
2025-09-03 13:28:07,303, 9996, -9724, 2840
2025-09-03 13:28:07,304, 5704, -516, -1084
2025-09-03 13:28:08,305, 1308, 10384, 3256
2025-09-03 13:28:08,306, -4260, 23340, 15376
2025-09-03 13:28:08,307, -4368, 26600, 13604
2025-09-03 13:28:08,308, -464, 12980, 4452
2025-09-03 13:28:08,309, 7408, -2524, 3544
2025-09-03 13:28:08,310, 5704, -12516, 1784
2025-09-03 13:28:08,311, 10240, -23960, 1252
2025-09-03 13:28:08,312, 11688, -21908, 4720
2025-09-03 13:28:08,313, 9568, -12668, 2480
2025-09-03 13:28:08,314, 6516, -2384, -1500
2025-09-03 13:28:09,315, 3704, 6904, -1500
2025-09-03 13:28:09,316, 2500, 18028, 9264
2025-09-03 13:28:09,317, -1628, 24268, 23532
2025-09-03 13:28:09,318, -16, 18060, 13364
2025-09-03 13:28:09,319, 3536, 4704, 2804
2025-09-03 13:28:09,320, 2900, -4356, 2708
2025-09-03 13:28:09,321, -2864, -15908, 2404
2025-09-03 13:28:09,322, -2268, -30308, 8484
2025-09-03 13:28:09,323, -2388, -19672, 10212
2025-09-03 13:28:09,324, -944, -23328, 6012
2025-09-03 13:28:10,325, -2660, -22736, 4624
2025-09-03 13:28:10,326, -3380, -13812, 2600
2025-09-03 13:28:10,327, -2644, -4328, 276
2025-09-03 13:28:10,328, -4400, 5640, 2048
2025-09-03 13:28:10,329, -8060, 18236, 8888
2025-09-03 13:28:10,330, -10496, 32328, 14384
2025-09-03 13:28:10,331, -4408, 23964, 11828
2025-09-03 13:28:10,332, -3796, 18328, 10300
2025-09-03 13:28:10,333, -6472, 15004, 6824
2025-09-03 13:28:10,334, -4364, 8296, -36
